id,date,bank_category,bank_name,atms_crms_onsite,atms_crms_offsite,pos,micro_atms,bharat_qr,upi_qr,credit_cards,debit_cards,cc_pay_trns_at_pos_vol,cc_pay_trns_at_pos_val,cc_pay_trns_online_vol,cc_pay_trns_online_val,cc_pay_trns_other_vol,cc_pay_trns_other_val,cc_cash_withdraw_atm_val,cc_cash_withdraw_atm_vol,dc_pay_trns_at_pos_vol,dc_pay_trns_at_pos_val,dc_pay_trns_online_vol,dc_pay_trns_online_val,dc_pay_trns_other_vol,dc_pay_trns_other_val,dc_cash_withdraw_atm_val,dc_cash_withdraw_atm_vol,dc_cash_withdraw_pos_val,dc_cash_withdraw_pos_vol,year,total_atms,onsite_atm_share_pct,offsite_atm_share_pct,trans_per_atm,total_digital_infra,digital_vs_real_ratio,dc_pos_avg,dc_online_avg,cc_pos_avg,cc_online_avg,monthly_spend_per_debit_card,monthly_spend_per_credit_card,monthly_trans_per_debit_card,monthly_trans_per_credit_card,cc_atm_avg_withdrawal_amt,atm_infra_investment,pos_infra_investment,qr_infra_investment,pos_gain,online_gain,atm_gain,roi_pos,roi_atm,roi_qr
693,2023-01-02,Payment Banks,Paytm Payments Bank,1,62,591989,0,0,28699656,0,37907439,0,0,0,0,0,0,0,0,432092,536254,1120770,1788161,0,0,1459822,5953971,0,0,2023,63,1.5873015873015872,98.4126984126984,94507.47619047618,29291645,48.48004946037849,1.2410644029512234,1.5954754320690239,0.0,0.0,0.09982834767603266,0.0,0.19803060291147603,0.0,0.0,15750000,5919890000,8609896800,536254,1788161,1459822,-99.99094148708845,-90.73128888888888,-99.97923133062407
694,2023-01-02,Public Sector Banks,Punjab & Sind Bank,807,21,996,357,1095,35734,0,3688282,0,0,0,0,0,0,0,0,594623,1327269,117159,384077,0,0,1499413,7013109,0,0,2023,828,97.46376811594203,2.536231884057971,8469.938405797102,38182,27.220251293422024,2.2321185019752012,3.2782543381216978,0.0,0.0,0.8705296937707041,0.0,2.0944415313145797,0.0,0.0,207000000,9960000,11048700,1327269,384077,1499413,-86.67400602409639,-99.27564589371981,-96.5237810783169
695,2023-01-02,Public Sector Banks,Punjab National Bank,8165,4698,46082,11265,627219,94635,330596,41106028,441492,1512838,182271,699052,0,0,4414,14279,6195621,13903229,2881319,5980761,0,0,26664323,133114136,0,0,2023,12863,63.47663842027521,36.52336157972479,10349.71740651481,779201,12.587476241128568,2.244041234930284,2.0757024820924026,3.426648727496761,3.8352343488541787,1.132396275310278,6.703964960253603,3.4591295466445944,1.9299749543249163,0.30912528888577634,3215750000,460820000,216556200,15416067,6679813,26668737,-96.65464454667766,-99.17068375962062,-96.91543673189685
696,2023-01-02,Private Sector Banks,Rbl Bank,373,39,879893,0,47453,76133,4364662,1581303,6479739,28447800,2959194,23010713,0,0,39501,132035,239053,529623,100379,449691,93,4378,597799,2981974,0,0,2023,412,90.53398058252428,9.466019417475728,7558.27427184466,1003479,0.14045571450164962,2.2155045115518317,4.479931061277758,4.390269422888792,7.776006912693118,1.0001188892957265,11.798854985792714,2.100482323754524,2.1928314265801108,0.2991706744423827,103000000,8798930000,37075800,28977423,23460404,637300,-99.67067105886738,-99.38126213592233,-36.7231347671527
697,2023-01-02,Foreign Banks,Sbm Bank India,0,0,0,364192,0,0,1032427,568106,471457,1870988,1101696,4108542,0,0,43139,262122,40720,62774,26276,77793,0,0,76771,191956,0,0,2023,0,0.0,0.0,0.0,364192,0.0,1.5416011787819253,2.9606104429898004,3.9685231102730474,3.729288297316138,0.3825659295976455,5.833505904049391,0.4558163441329611,1.7776317357062532,0.1645760371124896,0,0,0,1933762,4186335,119910,0.0,0.0,0.0
698,2023-01-02,Small Finance Banks,Shivalik Small Finance Bank,30,1,0,279,0,0,0,83898,0,0,0,0,0,0,0,0,5887,12218,4416,15025,0,0,35706,190393,0,0,2023,31,96.7741935483871,3.225806451612903,6141.709677419355,279,0.0,2.075420417869883,3.402400362318841,0.0,0.0,0.7503039404991776,0.0,2.3921428401153784,0.0,0.0,7750000,0,0,12218,15025,35706,0.0,-99.53927741935485,0.0
699,2023-01-02,Private Sector Banks,South Indian Bank,860,418,14629,0,6670,73358,198707,3647979,461710,1442855,385762,2674051,0,0,0,0,1532878,2808756,255717,795072,0,0,2981508,13492756,0,0,2023,1278,67.2926447574335,32.70735524256651,10557.712050078248,94657,5.470503793834165,1.8323415170678945,3.109187109187109,3.125024365943991,6.9318673171541,1.8052011812568,20.71847494049027,4.188990945397438,4.264932790490521,0.0,319500000,146290000,24008400,4251611,3469123,2981508,-97.09371043817076,-99.066820657277,-85.550378200963
700,2023-01-02,Foreign Banks,Standard Chartered Bank,103,71,0,0,0,0,1067422,1157081,1310459,4106872,1246066,5899690,0,0,2483,15264,844052,1821843,109663,533172,40,738,794456,3797351,0,0,2023,174,59.195402298850574,40.804597701149426,21911.580459770114,0,0.0,2.1584487685592832,4.861913316250695,3.1339187261867787,4.7346528996056385,2.7225483782034274,9.376839712878319,4.106113573725608,2.4093460693146667,0.16267033542976939,43500000,0,0,5928715,6432862,796939,0.0,-98.16795632183909,0.0
727,2023-01-03,Foreign Banks,Dbs Bank,451,497,474,93,0,3071,222375,1871842,233443,932583,145720,1327143,0,0,3070,9262,446774,771318,137350,341265,0,0,1079673,5125303,0,0,2023,948,47.573839662447256,52.426160337552744,5416.207805907173,3638,5.416225749559083,1.726416487978262,2.484637786676374,3.9949066795748855,9.107486961295635,1.1711757723141163,10.175586284429455,3.05016502461212,1.7467116357504215,0.3314618872813647,237000000,4740000,921300,1703901,1668408,1082743,-64.05272151898734,-99.54314641350211,81.09280364702052
701,2023-01-02,Public Sector Banks,State Bank Of India,25635,39993,1144642,51989,582935,2220361,16505981,273547554,24634634,75887454,17811748,144503602,1678,0,111052,404748,46991238,95370344,18822889,35812055,1678,22508,183729048,898529464,44250,42230,2023,65628,39.061071493874564,60.938928506125436,13697.418967513866,3999927,2.3426570095543235,2.029534612388803,1.9025801512190823,3.08051883376875,8.112825422861361,1.1514568505335638,13.35892171449852,3.5254839054419036,2.5961987960606523,0.2743731902319468,16407000000,11446420000,840988800,171257798,180315657,183840100,-98.50383090957698,-98.87950204181142,-78.55908937193932
